time_ms,neuron_id
3539,21
3557,21
3576,21
3595,21
3615,21
3635,21
3656,21
3678,21
3700,21
3722,21
3745,21
3769,21
3792,21
3817,21
3841,21
3866,21
3891,21
3916,21
3941,21
3967,21
3993,21
4018,21
4044,21
4071,21
4097,21
4123,21
4149,21
4176,21
4202,21
4229,21
4255,21
4282,21
4309,21
4335,21
4362,21
5300,21
5333,21
5348,21
5364,21
5381,21
5398,21
5415,21
5433,21
5452,21
5471,21
5491,21
5512,21
5533,21
5554,21
5576,21
5599,21
5622,21
5645,21
5669,21
5693,21
5717,21
5742,21
5767,21
5792,21
5818,21
5843,21
5869,21
5895,21
5921,21
5947,21
5973,21
5999,21
6026,21
6052,21
6079,21
6105,21
6132,21
6158,21
6185,21
6212,21
6238,21
7176,21
7209,21
7224,21
7240,21
7257,21
7274,21
7291,21
7309,21
7328,21
7348,21
7368,21
7388,21
7409,21
7431,21
7453,21
7475,21
7498,21
7521,21
7545,21
7569,21
7594,21
7618,21
7643,21
7668,21
7694,21
7719,21
7745,21
7771,21
7797,21
7823,21
7849,21
7876,21
7902,21
7928,21
7955,21
7981,21
8008,21
8035,21
8061,21
8088,21
8115,21
9053,21
9085,21
9101,21
9117,21
9133,21
9150,21
9168,21
9186,21
9205,21
9224,21
9244,21
9265,21
9286,21
9307,21
9329,21
9352,21
9374,21
9398,21
9421,21
9446,21
9470,21
9495,21
9520,21
9545,21
9570,21
9596,21
9622,21
9647,21
9673,21
9700,21
9726,21
9752,21
9778,21
9805,21
9831,21
9858,21
9885,21
9911,21
9938,21
9965,21
9991,21
621,121
652,121
667,121
683,121
699,121
715,121
732,121
750,121
768,121
787,121
806,121
826,121
847,121
868,121
890,121
912,121
934,121
957,121
981,121
1004,121
1028,121
1053,121
1078,121
1103,121
1128,121
1153,121
1179,121
1204,121
1230,121
1256,121
1282,121
1309,121
1335,121
1361,121
1388,121
1414,121
1441,121
1467,121
1494,121
1521,121
1547,121
2486,121
2518,121
2534,121
2549,121
2566,121
2583,121
2601,121
2619,121
2638,121
2657,121
2677,121
2697,121
2718,121
2740,121
2762,121
2784,121
2807,121
2831,121
2854,121
2878,121
2903,121
2927,121
2952,121
2978,121
3003,121
3029,121
3054,121
3080,121
3106,121
3132,121
3158,121
3185,121
3211,121
3238,121
3264,121
3291,121
3317,121
3344,121
3370,121
3397,121
3424,121
4362,121
4395,121
4410,121
4426,121
4442,121
4459,121
4477,121
4495,121
4514,121
4533,121
4553,121
4574,121
4595,121
4616,121
4638,121
4661,121
4684,121
4707,121
4731,121
4755,121
4779,121
4804,121
4829,121
4854,121
4879,121
4905,121
4931,121
4957,121
4983,121
5009,121
5035,121
5061,121
5088,121
5114,121
5141,121
5167,121
5194,121
5220,121
5247,121
5274,121
5300,121
6238,121
6271,121
6286,121
6302,121
6319,121
6336,121
6353,121
6371,121
6390,121
6410,121
6429,121
6450,121
6471,121
6492,121
6514,121
6537,121
6560,121
6583,121
6607,121
6631,121
6655,121
6680,121
6705,121
6730,121
6756,121
6781,121
6807,121
6833,121
6859,121
6885,121
6911,121
6937,121
6964,121
6990,121
7017,121
7043,121
7070,121
7096,121
7123,121
7150,121
7176,121
8115,121
8147,121
8162,121
8178,121
8195,121
8212,121
8229,121
8248,121
8266,121
8286,121
8306,121
8326,121
8347,121
8369,121
8391,121
8413,121
8436,121
8459,121
8483,121
8507,121
8532,121
8556,121
8581,121
8607,121
8632,121
8658,121
8683,121
8709,121
8735,121
8761,121
8787,121
8814,121
8840,121
8867,121
8893,121
8920,121
8946,121
8973,121
9000,121
9026,121
9053,121
9991,121
10024,121
10039,121
17,22
31,22
46,22
61,22
77,22
94,22
111,22
129,22
147,22
166,22
185,22
205,22
226,22
247,22
269,22
291,22
313,22
336,22
360,22
384,22
408,22
432,22
457,22
482,22
507,22
532,22
558,22
584,22
610,22
636,22
1563,22
1595,22
1610,22
1626,22
1643,22
1660,22
1678,22
1696,22
1715,22
1734,22
1754,22
1774,22
1795,22
1817,22
1839,22
1861,22
1884,22
1908,22
1931,22
1955,22
1980,22
2005,22
2029,22
2055,22
2080,22
2106,22
2131,22
2157,22
2183,22
2209,22
2236,22
2262,22
2288,22
2315,22
2341,22
2368,22
2394,22
2421,22
2448,22
2474,22
2501,22
3439,22
3472,22
3487,22
3503,22
3519,22
3537,22
3554,22
3572,22
3591,22
3611,22
3630,22
3651,22
3672,22
3693,22
3715,22
3738,22
3761,22
3784,22
3808,22
3832,22
3856,22
3881,22
3906,22
3931,22
3957,22
3982,22
4008,22
4034,22
4060,22
4086,22
4112,22
4138,22
4165,22
4191,22
4218,22
4244,22
4271,22
4297,22
4324,22
4351,22
4377,22
5316,22
5348,22
5364,22
5379,22
5396,22
5413,22
5431,22
5449,22
5468,22
5487,22
5507,22
5527,22
5548,22
5570,22
5592,22
5614,22
5637,22
5661,22
5684,22
5709,22
5733,22
5758,22
5783,22
5808,22
5833,22
5859,22
5884,22
5910,22
5936,22
5962,22
5989,22
6015,22
6041,22
6068,22
6094,22
6121,22
6147,22
6174,22
6201,22
6227,22
6254,22
7192,22
7225,22
7240,22
7256,22
7272,22
7289,22
7307,22
7325,22
7344,22
7363,22
7383,22
7404,22
7425,22
7446,22
7468,22
7491,22
7514,22
7537,22
7561,22
7585,22
7609,22
7634,22
7659,22
7684,22
7709,22
7735,22
7761,22
7787,22
7813,22
7839,22
7865,22
7891,22
7918,22
7944,22
7971,22
7997,22
8024,22
8050,22
8077,22
8104,22
8130,22
9069,22
9101,22
9116,22
9132,22
9149,22
9166,22
9184,22
9202,22
9221,22
9240,22
9260,22
9280,22
9301,22
9323,22
9345,22
9367,22
9390,22
9414,22
9437,22
9461,22
9486,22
9510,22
9535,22
9561,22
9586,22
9612,22
9637,22
9663,22
9689,22
9715,22
9741,22
9768,22
9794,22
9821,22
9847,22
9874,22
9900,22
9927,22
9953,22
9980,22
10007,22
636,122
667,122
682,122
698,122
714,122
730,122
747,122
765,122
783,122
802,122
821,122
841,122
862,122
